"Country or Area","Year","Item","Value"
"Eritrea","2019","Gross Domestic Product (GDP)","566.711679389871"
"Estonia","2019","Gross Domestic Product (GDP)","23740.1637963042"
"Ethiopia","2019","Gross Domestic Product (GDP)","827.544332602037"
"Fiji","2019","Gross Domestic Product (GDP)","6185.10033842033"
"Finland","2019","Gross Domestic Product (GDP)","48678.3652124762"
"France","2019","Gross Domestic Product (GDP)","40318.7527356019"
"French Polynesia","2019","Gross Domestic Product (GDP)","21566.946148538"
"Gabon","2019","Gross Domestic Product (GDP)","7773.19891997638"
"Gambia","2019","Gross Domestic Product (GDP)","776.444496742622"
"Georgia","2019","Gross Domestic Product (GDP)","4439.32397834453"
"Germany","2019","Gross Domestic Product (GDP)","46231.5633657681"
"Ghana","2019","Gross Domestic Product (GDP)","2202.62920747565"
"Greece","2019","Gross Domestic Product (GDP)","19604.4891246965"
"Greenland","2019","Gross Domestic Product (GDP)","53352.6477318732"
"Grenada","2019","Gross Domestic Product (GDP)","10817.7327260745"
"Guatemala","2019","Gross Domestic Product (GDP)","4363.13879349821"
"Guinea","2019","Gross Domestic Product (GDP)","967.360684169547"
"Guinea-Bissau","2019","Gross Domestic Product (GDP)","688.351615288899"
"Guyana","2019","Gross Domestic Product (GDP)","6609.58727365077"
"Haiti","2019","Gross Domestic Product (GDP)","714.83024698085"
"Honduras","2019","Gross Domestic Product (GDP)","2574.90810220421"
"Hungary","2019","Gross Domestic Product (GDP)","16879.1389851905"
"Iceland","2019","Gross Domestic Product (GDP)","71344.6136688474"
"India","2019","Gross Domestic Product (GDP)","2116.17738598968"
"Indonesia","2019","Gross Domestic Product (GDP)","4135.56927434869"
"Iran, Islamic Republic of","2019","Gross Domestic Product (GDP)","7282.00594564275"
"Iraq","2019","Gross Domestic Product (GDP)","5729.67735802716"
"Ireland","2019","Gross Domestic Product (GDP)","81636.5785548929"
"Israel","2019","Gross Domestic Product (GDP)","46376.4665103988"
"Italy","2019","Gross Domestic Product (GDP)","33089.5733076802"
"Jamaica","2019","Gross Domestic Product (GDP)","5369.49399031268"
"Japan","2019","Gross Domestic Product (GDP)","40063.4853523744"
"Jordan","2019","Gross Domestic Product (GDP)","4405.48059577022"
"Kazakhstan","2019","Gross Domestic Product (GDP)","9792.62592799356"
"Kenya","2019","Gross Domestic Product (GDP)","1816.52379547512"
"Kingdom of Eswatini","2019","Gross Domestic Product (GDP)","4001.57828512019"
"Kiribati","2019","Gross Domestic Product (GDP)","1656.94481484792"
"Kosovo","2019","Gross Domestic Product (GDP)","4473.42700515833"
"Kuwait","2019","Gross Domestic Product (GDP)","31999.271891386"
"Kyrgyzstan","2019","Gross Domestic Product (GDP)","1317.77077204302"
"Lao People's Democratic Republic","2019","Gross Domestic Product (GDP)","2625.3871105515"
"Latvia","2019","Gross Domestic Product (GDP)","17885.4274448227"
"Lebanon","2019","Gross Domestic Product (GDP)","7784.31685692976"
"Lesotho","2019","Gross Domestic Product (GDP)","1157.53602706394"
"Liberia","2019","Gross Domestic Product (GDP)","522.999167776231"
"Libya","2019","Gross Domestic Product (GDP)","4810.08238513129"
"Liechtenstein","2019","Gross Domestic Product (GDP)","178799.449955691"
"Lithuania","2019","Gross Domestic Product (GDP)","19795.2157521544"
"Luxembourg","2019","Gross Domestic Product (GDP)","115480.867570215"
"Madagascar","2019","Gross Domestic Product (GDP)","522.989510926798"
"Malawi","2019","Gross Domestic Product (GDP)","434.772494014265"
"Malaysia","2019","Gross Domestic Product (GDP)","11414.2936538308"
"Maldives","2019","Gross Domestic Product (GDP)","10626.4844404174"
"Mali","2019","Gross Domestic Product (GDP)","886.794271271705"
"Malta","2019","Gross Domestic Product (GDP)","33752.3705163352"
"Marshall Islands","2019","Gross Domestic Product (GDP)","4038.17023013727"
"Mauritania","2019","Gross Domestic Product (GDP)","1677.91772830989"
"Mauritius","2019","Gross Domestic Product (GDP)","11168.6188001499"
"Mexico","2019","Gross Domestic Product (GDP)","9848.60435301128"
"Micronesia (Federated States of)","2019","Gross Domestic Product (GDP)","3640.41908360058"
"Monaco","2019","Gross Domestic Product (GDP)","190532.469952153"
"Mongolia","2019","Gross Domestic Product (GDP)","4295.23502879098"
"Montenegro","2019","Gross Domestic Product (GDP)","8825.34451440519"
"Montserrat","2019","Gross Domestic Product (GDP)","13487.4501681477"
"Morocco","2019","Gross Domestic Product (GDP)","3282.00759724233"
"Mozambique","2019","Gross Domestic Product (GDP)","503.745208975303"
"Myanmar","2019","Gross Domestic Product (GDP)","1420.74081277652"
"Namibia","2019","Gross Domestic Product (GDP)","4957.35857735007"
"Nauru","2019","Gross Domestic Product (GDP)","12350.9261281719"
"Nepal","2019","Gross Domestic Product (GDP)","1073.621800587"
"Netherlands","2019","Gross Domestic Product (GDP)","53052.814311238"
"New Caledonia","2019","Gross Domestic Product (GDP)","34941.5015410633"
"New Zealand","2019","Gross Domestic Product (GDP)","43229.3434792153"
"Nicaragua","2019","Gross Domestic Product (GDP)","1912.8991623303"
"Niger","2019","Gross Domestic Product (GDP)","554.579942549984"
"Nigeria","2019","Gross Domestic Product (GDP)","2361.20696665297"
"Norway","2019","Gross Domestic Product (GDP)","74985.5152565617"
"Oman","2019","Gross Domestic Product (GDP)","15343.0620042751"
"Pakistan","2019","Gross Domestic Product (GDP)","1186.69208046357"
"Palau","2019","Gross Domestic Product (GDP)","15572.4903376277"
"Panama","2019","Gross Domestic Product (GDP)","15727.970386717"
"Papua New Guinea","2019","Gross Domestic Product (GDP)","2845.1906361259"
"Paraguay","2019","Gross Domestic Product (GDP)","5406.48341606301"
"Peru","2019","Gross Domestic Product (GDP)","6977.76782031013"
"Philippines","2019","Gross Domestic Product (GDP)","3323.76700629207"
"Poland","2019","Gross Domestic Product (GDP)","15727.0306059785"
"Portugal","2019","Gross Domestic Product (GDP)","23350.3538543729"
"Puerto Rico","2019","Gross Domestic Product (GDP)","35790.6523743032"
"Qatar","2019","Gross Domestic Product (GDP)","64781.7331974169"
"Republic of Korea","2019","Gross Domestic Product (GDP)","32143.0850115415"
"Republic of Moldova","2019","Gross Domestic Product (GDP)","2956.88324375874"
"Republic of North Macedonia","2019","Gross Domestic Product (GDP)","6093.14769049676"
"Romania","2019","Gross Domestic Product (GDP)","12914.1073964094"
"Russian Federation","2019","Gross Domestic Product (GDP)","11605.5663888626"
"Rwanda","2019","Gross Domestic Product (GDP)","820.091210742909"
"Saint Kitts and Nevis","2019","Gross Domestic Product (GDP)","19896.4957043824"
"Saint Lucia","2019","Gross Domestic Product (GDP)","11611.4221338796"
"Saint Vincent and the Grenadines","2019","Gross Domestic Product (GDP)","7463.53783093423"
"Samoa","2019","Gross Domestic Product (GDP)","4285.48531678714"
"San Marino","2019","Gross Domestic Product (GDP)","47313.3524531489"
"Sao Tome and Principe","2019","Gross Domestic Product (GDP)","1961.24580999741"
"Saudi Arabia","2019","Gross Domestic Product (GDP)","23139.802114033"
"Senegal","2019","Gross Domestic Product (GDP)","1452.13466440408"
"Serbia","2019","Gross Domestic Product (GDP)","7359.34853339114"
"Seychelles","2019","Gross Domestic Product (GDP)","17381.6510825923"
"Sierra Leone","2019","Gross Domestic Product (GDP)","527.533631822448"
"Singapore","2019","Gross Domestic Product (GDP)","64102.7376108407"
"Sint Maarten (Dutch part)","2019","Gross Domestic Product (GDP)","23803.9067660659"
"Slovakia","2019","Gross Domestic Product (GDP)","19255.8956721806"
"Slovenia","2019","Gross Domestic Product (GDP)","26062.1668199162"
"Solomon Islands","2019","Gross Domestic Product (GDP)","1944.81816940044"
"Somalia","2019","Gross Domestic Product (GDP)","105.310682404878"
"South Africa","2019","Gross Domestic Product (GDP)","6001.38957628686"
"South Sudan","2019","Gross Domestic Product (GDP)","448.355293438912"
"Spain","2019","Gross Domestic Product (GDP)","29815.7178089829"
"Sri Lanka","2019","Gross Domestic Product (GDP)","3939.68419759581"
"State of Palestine","2019","Gross Domestic Product (GDP)","3424.46531310349"
"Sudan","2019","Gross Domestic Product (GDP)","815.06010081405"
"Suriname","2019","Gross Domestic Product (GDP)","6359.63483441792"
"Sweden","2019","Gross Domestic Product (GDP)","52895.9566996202"
"Switzerland","2019","Gross Domestic Product (GDP)","85134.9548263187"
"Syrian Arab Republic","2019","Gross Domestic Product (GDP)","1193.85303949528"
"Tajikistan","2019","Gross Domestic Product (GDP)","894.012934350646"
"Thailand","2019","Gross Domestic Product (GDP)","7784.73908022857"
"Timor-Leste","2019","Gross Domestic Product (GDP)","1560.50984016166"
"Togo","2019","Gross Domestic Product (GDP)","899.490744447516"
"Tonga","2019","Gross Domestic Product (GDP)","4865.49169450543"
"Trinidad and Tobago","2019","Gross Domestic Product (GDP)","16637.2598128427"
"Tunisia","2019","Gross Domestic Product (GDP)","3317.51527558706"
"Turkey","2019","Gross Domestic Product (GDP)","9126.56245874789"
"Turkmenistan","2019","Gross Domestic Product (GDP)","8124.49404664637"
"Turks and Caicos Islands","2019","Gross Domestic Product (GDP)","31353.4602393234"
"Tuvalu","2019","Gross Domestic Product (GDP)","4036.00051601035"
"Uganda","2019","Gross Domestic Product (GDP)","736.603086731172"
"Ukraine","2019","Gross Domestic Product (GDP)","3495.53116259077"
"United Arab Emirates","2019","Gross Domestic Product (GDP)","43103.3230583159"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross Domestic Product (GDP)","41854.503067717"
"United Republic of Tanzania: Mainland","2019","Gross Domestic Product (GDP)","1084.37349142842"
"United Republic of Tanzania: Zanzibar","2019","Gross Domestic Product (GDP)","1110.84267086765"
"United States","2019","Gross Domestic Product (GDP)","65133.7316521044"
"Uruguay","2019","Gross Domestic Product (GDP)","16190.1384380719"
"Uzbekistan","2019","Gross Domestic Product (GDP)","1756.16349588478"
"Vanuatu","2019","Gross Domestic Product (GDP)","3023.40944511151"
"Venezuela (Bolivarian Republic of)","2019","Gross Domestic Product (GDP)","4732.82009342001"
"Viet Nam","2019","Gross Domestic Product (GDP)","2715.27587424366"
"Yemen","2019","Gross Domestic Product (GDP)","855.066810721082"
"Zambia","2019","Gross Domestic Product (GDP)","1292.48207633107"
"Zimbabwe","2019","Gross Domestic Product (GDP)","1463.98591291176"

